Borough,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Bronx,Wakefield,40.89470517661004,-73.8472005205491,9,Sandwich Place,Dessert Shop,Laundromat,Pharmacy,Ice Cream Shop,Food Truck,Donut Shop,Factory,Falafel Restaurant,Farm
Bronx,Co-op City,40.874294193030146,-73.82993910812405,9,Park,Mattress Store,Discount Store,Chinese Restaurant,Pharmacy,Grocery Store,Pizza Place,Gift Shop,Basketball Court,Baseball Field
Bronx,Eastchester,40.88755567735082,-73.82780644716419,3,Caribbean Restaurant,Bus Station,Diner,Metro Station,Deli / Bodega,Donut Shop,Bowling Alley,Bus Stop,Fast Food Restaurant,Chinese Restaurant
Bronx,Fieldston,40.89543742690388,-73.90564259591689,9,Playground,Plaza,Yoga Studio,Film Studio,Exhibit,Eye Doctor,Factory,Falafel Restaurant,Farm,Farmers Market
Bronx,Riverdale,40.89083449389135,-73.91258546108577,9,Park,Home Service,Food Truck,Gym,Bus Station,Playground,Plaza,Bank,Yoga Studio,Eye Doctor
Bronx,Kingsbridge,40.881687371205246,-73.90281798724611,0,Pizza Place,Bar,Sandwich Place,Discount Store,Supermarket,Latin American Restaurant,Mexican Restaurant,Bakery,Pharmacy,Spanish Restaurant
Manhattan,Marble Hill,40.87655077879968,-73.91065965862988,9,Coffee Shop,Discount Store,Yoga Studio,Kids Store,Steakhouse,Supplement Shop,Tennis Stadium,Shopping Mall,Shoe Store,Gym
Bronx,Woodlawn,40.89827261213809,-73.86731496814183,9,Playground,Deli / Bodega,Pizza Place,Food & Drink Shop,Supermarket,Train Station,Pub,Cosmetics Shop,Convenience Store,Donut Shop
Bronx,Norwood,40.87722415599449,-73.87939073956818,0,Park,Pizza Place,Deli / Bodega,Chinese Restaurant,Pharmacy,Bank,Fast Food Restaurant,American Restaurant,Spanish Restaurant,Bus Stop
Bronx,Williamsbridge,40.881038878192136,-73.85744642974214,9,Caribbean Restaurant,Nightclub,Bar,Convenience Store,Soup Place,Fish Market,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
Bronx,Baychester,40.86685810725274,-73.83579759808124,9,Electronics Store,Supermarket,Bank,Discount Store,Donut Shop,Pizza Place,Sandwich Place,Pet Store,Fast Food Restaurant,Spanish Restaurant
Bronx,Pelham Parkway,40.85741349808869,-73.85475564018006,0,Pizza Place,Deli / Bodega,Italian Restaurant,Plaza,Chinese Restaurant,Performing Arts Venue,Metro Station,Mexican Restaurant,Eye Doctor,Smoke Shop
Bronx,City Island,40.84724670491817,-73.7864884526742,9,Harbor / Marina,Park,Thrift / Vintage Store,Seafood Restaurant,Spanish Restaurant,Bank,Smoke Shop,Liquor Store,Pharmacy,Pizza Place
Bronx,Bedford Park,40.87018516497537,-73.88551218419138,0,Pizza Place,Deli / Bodega,Diner,Chinese Restaurant,Sandwich Place,Mexican Restaurant,Pharmacy,Supermarket,Bus Station,Spanish Restaurant
Bronx,University Heights,40.855727077196676,-73.91041596191317,0,Chinese Restaurant,Pizza Place,Fast Food Restaurant,Shoe Store,Food,Bank,Optical Shop,Seafood Restaurant,Bakery,Sandwich Place
Bronx,Morris Heights,40.84789792606274,-73.91967159119572,0,Pharmacy,Grocery Store,Food Truck,Latin American Restaurant,Bank,Burrito Place,Pizza Place,Spanish Restaurant,IT Services,Farmers Market
Bronx,Fordham,40.86099679638657,-73.89642655981629,0,Mobile Phone Shop,Shoe Store,Spanish Restaurant,Pizza Place,Donut Shop,Gym / Fitness Center,Fast Food Restaurant,Supplement Shop,Clothing Store,Chinese Restaurant
Bronx,East Tremont,40.84269615786057,-73.88735617532346,0,Pizza Place,Shoe Store,Supermarket,Mobile Phone Shop,Donut Shop,Mexican Restaurant,Spanish Restaurant,Lounge,Discount Store,Paella Restaurant
Bronx,West Farms,40.83947505672657,-73.87774474910552,0,Bus Station,Supermarket,Latin American Restaurant,Diner,Convenience Store,Donut Shop,Playground,Pizza Place,Sandwich Place,Coffee Shop
Bronx,High  Bridge,40.8366230107061,-73.92610209358138,0,Pharmacy,Pizza Place,Discount Store,Sandwich Place,Chinese Restaurant,Spanish Restaurant,Gym,Grocery Store,Food,Bus Station
Bronx,Melrose,40.81975437059498,-73.90942160757443,0,Pizza Place,Supermarket,Pharmacy,Discount Store,Art Gallery,Supplement Shop,Paper / Office Supplies Store,Mexican Restaurant,Gym,Gym / Fitness Center
Bronx,Mott Haven,40.80623874935181,-73.91609987487583,0,Pizza Place,Spanish Restaurant,Gym,Latin American Restaurant,Chinese Restaurant,Fish & Chips Shop,Pharmacy,Donut Shop,Flower Shop,Mobile Phone Shop
