Borough,Neighbourhood,Latitude,Longitude
Bronx,Wakefield,40.89470517661004,-73.8472005205491
Bronx,Co-op City,40.87429419303015,-73.82993910812405
Bronx,Eastchester,40.88755567735082,-73.82780644716419
Bronx,Fieldston,40.895437426903875,-73.90564259591689
Bronx,Riverdale,40.89083449389134,-73.91258546108577
Bronx,Kingsbridge,40.88168737120525,-73.90281798724611
Manhattan,Marble Hill,40.87655077879968,-73.91065965862988
Bronx,Woodlawn,40.898272612138086,-73.86731496814183
Bronx,Norwood,40.877224155994504,-73.87939073956817
Bronx,Williamsbridge,40.88103887819214,-73.85744642974214
Bronx,Baychester,40.86685810725274,-73.83579759808124
Bronx,Pelham Parkway,40.85741349808869,-73.85475564018006
Bronx,City Island,40.84724670491817,-73.7864884526742
Bronx,Bedford Park,40.87018516497537,-73.88551218419137
Bronx,University Heights,40.85572707719668,-73.91041596191317
Bronx,Morris Heights,40.84789792606274,-73.91967159119572
Bronx,Fordham,40.86099679638657,-73.8964265598163
Bronx,East Tremont,40.84269615786057,-73.88735617532345
Bronx,West Farms,40.83947505672657,-73.87774474910552
Bronx,High  Bridge,40.8366230107061,-73.92610209358138
Bronx,Melrose,40.81975437059498,-73.90942160757443
Bronx,Mott Haven,40.80623874935181,-73.91609987487583
Bronx,Port Morris,40.80166362775625,-73.91322139386142
Bronx,Longwood,40.815099045458254,-73.89578820094466
Bronx,Hunts Point,40.809729879387135,-73.88331505955298
Bronx,Morrisania,40.82359198585537,-73.90150648943066
Bronx,Soundview,40.82101219791406,-73.86574609554933
Bronx,Clason Point,40.806551120035934,-73.85414416189273
Bronx,Throgs Neck,40.815109258040096,-73.8163500215845
Bronx,Country Club,40.84424593694742,-73.82409926753857
Bronx,Parkchester,40.83793782226733,-73.8560031053579
Bronx,Westchester Square,40.840619496432744,-73.8421940760445
Bronx,Van Nest,40.84360847124722,-73.86629918075617
Bronx,Morris Park,40.84754906353638,-73.85040178030428
Bronx,Belmont,40.85727710073898,-73.88845196134812
Bronx,Spuyten Duyvil,40.8813949772709,-73.917190482104
Bronx,North Riverdale,40.9085428295067,-73.90453054908934
Bronx,Pelham Bay,40.85064140940339,-73.83207378240478
Bronx,Schuylerville,40.82657951686926,-73.82620275994081
Bronx,Edgewater Park,40.82198611816354,-73.81388514428627
Bronx,Castle Hill,40.81901437698835,-73.84802729582742
Bronx,Olinville,40.87137078192375,-73.86332361652784
Bronx,Pelham Gardens,40.862965624780024,-73.8416119483123
Bronx,Concourse,40.834283807338544,-73.91558941773451
Bronx,Unionport,40.82977429787165,-73.85053524451942
Bronx,Edenwald,40.88456130303736,-73.84808271877175
Brooklyn,Bay Ridge,40.62580106501069,-74.03062069353821
Brooklyn,Bensonhurst,40.61100890202048,-73.99517998380736
Brooklyn,Sunset Park,40.64510294925433,-74.01031618527792
Brooklyn,Greenpoint,40.730200984864744,-73.954240931274
Brooklyn,Gravesend,40.59526001306597,-73.97347087708452
Brooklyn,Brighton Beach,40.576825065666085,-73.96509448785343
Brooklyn,Sheepshead Bay,40.58689012678388,-73.94318640482987
Brooklyn,Manhattan Terrace,40.61443251335102,-73.95743840559946
Brooklyn,Flatbush,40.63632589026681,-73.95840106533912
Brooklyn,Crown Heights,40.67082917695298,-73.9432911907359
Brooklyn,East Flatbush,40.64171776668965,-73.93610256185843
Brooklyn,Kensington,40.64238195800357,-73.98042110559481
Brooklyn,Windsor Terrace,40.65694583575108,-73.98007340430179
Brooklyn,Prospect Heights,40.67682226225477,-73.96485924262697
Brooklyn,Brownsville,40.66394994339758,-73.91023536176615
Brooklyn,Williamsburg,40.70714439344255,-73.95811529220936
Brooklyn,Bushwick,40.69811611017905,-73.92525797487053
Brooklyn,Bedford Stuyvesant,40.6872316077205,-73.94178488690304
Brooklyn,Brooklyn Heights,40.69586372272413,-73.99378225496432
Brooklyn,Cobble Hill,40.68791972248561,-73.9985613921847
Brooklyn,Carroll Gardens,40.68213188564184,-74.00037274122076
Brooklyn,Red Hook,40.67625323025092,-74.01275897473568
Brooklyn,Gowanus,40.6739311431872,-73.99444087145346
Brooklyn,Fort Greene,40.688527260189815,-73.97290574369099
Brooklyn,Park Slope,40.672320522682014,-73.97705030183931
Brooklyn,Cypress Hills,40.6846357939163,-73.87583132262635
Brooklyn,East New York,40.66992570084708,-73.88069863917373
Brooklyn,Starrett City,40.64758905230878,-73.87936970045882
Brooklyn,Canarsie,40.63556432797432,-73.90209269778973
Brooklyn,Flatlands,40.6304460437575,-73.92911302644681
Brooklyn,Mill Island,40.60633642168567,-73.90818571777432
Brooklyn,Manhattan Beach,40.57791350308661,-73.94353722891894
Brooklyn,Coney Island,40.57429256471605,-73.98868295821644
Brooklyn,Bath Beach,40.599518702822415,-73.99875221443526
Brooklyn,Borough Park,40.63313051275805,-73.99049823044818
Brooklyn,Dyker Heights,40.61921945772268,-74.01931375636029
Brooklyn,Gerritsen Beach,40.59084843390208,-73.93010170691203
Brooklyn,Marine Park,40.60974777989464,-73.93134404108504
Brooklyn,Clinton Hill,40.69322942188155,-73.96784306216374
Brooklyn,Sea Gate,40.576375378902284,-74.00787311200247
Brooklyn,Downtown,40.69084402109806,-73.98346337431106
Brooklyn,Boerum Hill,40.687241380657376,-73.98357724689187
Brooklyn,Prospect Lefferts Gardens,40.65842001746986,-73.9548986707772
Brooklyn,Ocean Hill,40.6784025547954,-73.91306831787404
Brooklyn,City Line,40.678569957274824,-73.86797598081343
Brooklyn,Bergen Beach,40.615149550453125,-73.89855633630324
Brooklyn,Midwood,40.62559589869847,-73.95759523489846
Brooklyn,Prospect Park South,40.64700860318523,-73.96261316716055
Brooklyn,Georgetown,40.623845244784235,-73.91607483951331
Brooklyn,Spring Creek,40.65713927658277,-73.86998779106547
Brooklyn,East Williamsburg,40.70849241041552,-73.93885815269203
Brooklyn,North Side,40.714822906532056,-73.95880857587589
Brooklyn,South Side,40.710861472650684,-73.95800095153338
Brooklyn,Navy Yard,40.698790872180545,-73.97164435527614
Brooklyn,Ocean Parkway,40.61305976667946,-73.96836678035548
