Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Wakefield,40.89470517661004,-73.8472005205491,Lollipops Gelato,40.894123150205274,-73.84589162362325,Dessert Shop
Wakefield,40.89470517661004,-73.8472005205491,Rite Aid,40.8965207,-73.8446798,Pharmacy
Wakefield,40.89470517661004,-73.8472005205491,Carvel Ice Cream,40.890486685759605,-73.84856772568665,Ice Cream Shop
Wakefield,40.89470517661004,-73.8472005205491,Dunkin Donuts,40.890631142128605,-73.84902685192144,Donut Shop
Wakefield,40.89470517661004,-73.8472005205491,SUBWAY,40.89065631618457,-73.84919159087512,Sandwich Place
Wakefield,40.89470517661004,-73.8472005205491,Baychester Avenue Food Truck,40.892293193824266,-73.84323016854879,Food Truck
Wakefield,40.89470517661004,-73.8472005205491,Koss Quick Wash,40.891147,-73.85023,Laundromat
Co-op City,40.874294193030146,-73.82993910812405,Dollar Tree,40.87012498449601,-73.82898863175873,Discount Store
Co-op City,40.874294193030146,-73.82993910812405,Capri II Pizza,40.87637420537464,-73.82994042507629,Pizza Place
Co-op City,40.874294193030146,-73.82993910812405,Rite Aid,40.8703448818904,-73.82830202579498,Pharmacy
Co-op City,40.874294193030146,-73.82993910812405,Sleepy's Co-Op City,40.87223414329722,-73.8286072661231,Mattress Store
Co-op City,40.874294193030146,-73.82993910812405,Baskin Robbins,40.87004451117903,-73.8295779479274,Ice Cream Shop
Co-op City,40.874294193030146,-73.82993910812405,Food Universe Marketplace,40.87673987981054,-73.82898048976519,Grocery Store
Co-op City,40.874294193030146,-73.82993910812405,Townhouse Restaurant,40.876085887834265,-73.82886815052547,Restaurant
Co-op City,40.874294193030146,-73.82993910812405,truman track n field,40.87496253317124,-73.83084729386773,Baseball Field
Co-op City,40.874294193030146,-73.82993910812405,Guang Hui Chinese Restaurant,40.87660292677318,-73.82971005218339,Chinese Restaurant
Co-op City,40.874294193030146,-73.82993910812405,Pure Romance Parties By Amy,40.87679203333333,-73.83047571666667,Gift Shop
Co-op City,40.874294193030146,-73.82993910812405,Section 4 Basketball Courts (Co Op City),40.87234472163489,-73.82658004760742,Basketball Court
Co-op City,40.874294193030146,-73.82993910812405,The Park,40.87764512391663,-73.83083580661068,Park
Co-op City,40.874294193030146,-73.82993910812405,MTA MaBSTOA Bus Bx23 / Bx30 / Bx38 / Q50 at Donizetti Place & Baychester Ave (Section 1),40.87618793183889,-73.833838139328,Bus Station
Co-op City,40.874294193030146,-73.82993910812405,Givens Creek Park,40.878337,-73.829072,Park
Co-op City,40.874294193030146,-73.82993910812405,Jimmy Jazz,40.87328580179024,-73.82436990737915,Accessories Store
Eastchester,40.88755567735082,-73.82780644716419,Fish & Ting,40.88553926848355,-73.82915130799964,Caribbean Restaurant
Eastchester,40.88755567735082,-73.82780644716419,Cozy Cottage Restaurant,40.88633207186384,-73.82761561924221,Diner
Eastchester,40.88755567735082,-73.82780644716419,Mario's Pizza,40.88862762439113,-73.83126012557018,Pizza Place
Eastchester,40.88755567735082,-73.82780644716419,Dyre Fish Market,40.889317642958616,-73.83145257358296,Seafood Restaurant
Eastchester,40.88755567735082,-73.82780644716419,Dunkin Donuts,40.88548117663743,-73.82801495153132,Donut Shop
Eastchester,40.88755567735082,-73.82780644716419,Golden Krust Caribbean Bakery and Grill,40.88854318502737,-73.83127757319923,Caribbean Restaurant
Eastchester,40.88755567735082,-73.82780644716419,Dyre Deli Grocery,40.88823525219036,-73.8312823268945,Deli / Bodega
Eastchester,40.88755567735082,-73.82780644716419,BowlerLand,40.88601990111869,-73.82320747767668,Bowling Alley
Eastchester,40.88755567735082,-73.82780644716419,McDonald's,40.88563631373264,-73.82683955509486,Fast Food Restaurant
Eastchester,40.88755567735082,-73.82780644716419,Dyre Ave Diner,40.887968729082246,-73.83141284372412,Diner
Eastchester,40.88755567735082,-73.82780644716419,MTA New York City Bus/Bee Line - Bx16/Bx30/W60/W61/W62 (Pelham/Co-op City/White Plains/Port Chester) @ Boston Road and Conner Street,40.88594,-73.82787,Bus Stop
Eastchester,40.88755567735082,-73.82780644716419,Royal Caribbean Bakery,40.888251933965,-73.83145707477787,Caribbean Restaurant
Eastchester,40.88755567735082,-73.82780644716419,MTA Bus - BX 16,40.88790343813609,-73.83125388185631,Bus Station
Eastchester,40.88755567735082,-73.82780644716419,MTA Subway - Eastchester/Dyre Ave (5),40.88798538407525,-73.83138309969671,Metro Station
Eastchester,40.88755567735082,-73.82780644716419,Adil Newsstand & Grocery,40.888433208510854,-73.83127682668768,Convenience Store
Eastchester,40.88755567735082,-73.82780644716419,Xing Lung Chinese Restaurant,40.8887854684858,-73.83122576835156,Chinese Restaurant
Eastchester,40.88755567735082,-73.82780644716419,NYCT - Y3 Yard Track(s) (5),40.88710840323387,-73.8316011428833,Metro Station
Eastchester,40.88755567735082,-73.82780644716419,Hostess Cakes,40.884688,-73.826647,Bakery
Eastchester,40.88755567735082,-73.82780644716419,MTA MaBSTOA Bus Bx16 / Bx30 and Bee-line Route 52 / 60 / 61 / 62 at Dyre Ave / Boston Road (US 1),40.88461356066747,-73.83152944427044,Bus Station
Fieldston,40.89543742690388,-73.90564259591689,Fieldston Road Circle,40.89448851736085,-73.90562087134356,Plaza
Fieldston,40.89543742690388,-73.90564259591689,Playground @ Briar Hill,40.892987544093614,-73.90854898437728,Playground
Riverdale,40.89083449389135,-73.91258546108577,Riverdale Ave,40.890424929507866,-73.91024841803598,Plaza
Riverdale,40.89083449389135,-73.91258546108577,Chase Bank,40.888089,-73.907921,Bank
Riverdale,40.89083449389135,-73.91258546108577,Seton Park,40.88791393116787,-73.91611321473175,Park
Riverdale,40.89083449389135,-73.91258546108577,Park Lunch,40.888152518919604,-73.9146232432107,Food Truck
Riverdale,40.89083449389135,-73.91258546108577,Bell Tower Park,40.88917798960079,-73.90833081276627,Park
Riverdale,40.89083449389135,-73.91258546108577,Shallash Pest Control,40.89466945869686,-73.91321539878845,Home Service
Riverdale,40.89083449389135,-73.91258546108577,MTA BX7 238th Stop,40.88903574764659,-73.9080494858546,Bus Station
Riverdale,40.89083449389135,-73.91258546108577,Hayden On Hudson Gym,40.888722,-73.917011,Gym
Riverdale,40.89083449389135,-73.91258546108577,Spuyten Duyvil Playground,40.8872269807248,-73.91605773455,Playground
Kingsbridge,40.881687371205246,-73.90281798724611,Garden Gourmet Market,40.88135023917183,-73.90338943716417,Gourmet Shop
Kingsbridge,40.881687371205246,-73.90281798724611,Leche y Miel,40.88370946311038,-73.90160581178267,Latin American Restaurant
Kingsbridge,40.881687371205246,-73.90281798724611,Kingsbridge Social Club,40.88454548045115,-73.90196378126393,Pizza Place
Kingsbridge,40.881687371205246,-73.90281798724611,El Malecon,40.87933806746814,-73.90445707056641,Caribbean Restaurant
Kingsbridge,40.881687371205246,-73.90281798724611,Sam's Pizza,40.87943501792795,-73.90585879861192,Pizza Place
Kingsbridge,40.881687371205246,-73.90281798724611,Loeser's Delicatessen,40.879241887611094,-73.9054706858219,Sandwich Place
Kingsbridge,40.881687371205246,-73.90281798724611,The Bronx Public,40.87837659295958,-73.90348117090952,Pub
Kingsbridge,40.881687371205246,-73.90281798724611,Bronx Alehouse,40.88474887262718,-73.89969883486997,Beer Bar
